transaction_id,timestamp,amount,type,payer_vpa,status,merchant_vpa
TXNAE9367278C96,2025-12-31T13:21:00,191.78,credit,user112@okhdfc,success,newageapparel@ybl
TXNA2E35E06B537,2025-12-31T19:38:00,207.92,credit,payer122@paytm,success,newageapparel@ybl
TXN0DECCC9D5765,2026-01-01T13:11:00,566.41,credit,payer383@paytm,success,newageapparel@ybl
TXN2DAC826773B8,2026-01-01T13:13:00,395.07,credit,payer185@paytm,success,newageapparel@ybl
TXNBEFA5421FD1F,2026-01-01T14:00:00,344.15,credit,payer251@paytm,success,newageapparel@ybl
TXN07852D0BC1E3,2026-01-01T16:28:00,447.79,credit,payer58@paytm,success,newageapparel@ybl
TXN911D8BEC63E2,2026-01-01T20:10:00,464.92,credit,cust175@ybl,success,newageapparel@ybl
TXNE69E1D625E66,2026-01-01T21:14:00,623.17,credit,cust399@ybl,success,newageapparel@ybl
TXN99CF87AE83F1,2026-01-02T11:42:00,460.68,credit,user388@okhdfc,success,newageapparel@ybl
TXNE096B8A12647,2026-01-02T14:09:00,464.21,credit,payer315@paytm,success,newageapparel@ybl
TXN5CD71432C782,2026-01-02T17:26:00,654.43,credit,payer263@paytm,success,newageapparel@ybl
TXN03AAE5A93DE1,2026-01-02T20:50:00,475.18,credit,user223@okhdfc,success,newageapparel@ybl
TXN6524D351BE3C,2026-01-02T21:17:00,261.48,credit,user248@okhdfc,success,newageapparel@ybl
TXN1A1087610781,2026-01-03T12:36:00,481.2,credit,payer115@paytm,success,newageapparel@ybl
TXNCD0CADCA5E82,2026-01-03T15:19:00,619.83,credit,user344@okhdfc,success,newageapparel@ybl
TXN44E06F8F178A,2026-01-03T16:20:00,550.64,credit,user368@okhdfc,success,newageapparel@ybl
TXN85BE68C0C309,2026-01-03T16:37:00,217.42,credit,user95@okhdfc,success,newageapparel@ybl
TXN780592B730E1,2026-01-03T16:55:00,511.2,credit,payer264@paytm,success,newageapparel@ybl
TXN77E7E41D63CD,2026-01-03T19:11:00,468.99,credit,user110@okhdfc,success,newageapparel@ybl
TXN2C69D6DC6C81,2026-01-03T19:45:00,327.53,credit,payer301@paytm,success,newageapparel@ybl
TXNE260F84B2FF3,2026-01-03T19:51:00,506.04,credit,user205@okhdfc,success,newageapparel@ybl
TXN754674348596,2026-01-03T20:39:00,421.92,credit,payer207@paytm,success,newageapparel@ybl
TXN8E6DDB3B5578,2026-01-04T14:00:00,224.14,credit,user365@okhdfc,success,newageapparel@ybl
TXN158CC98A53D3,2026-01-04T14:08:00,589.3,credit,payer353@paytm,success,newageapparel@ybl
TXNBDB55CD27A7D,2026-01-04T14:13:00,549.62,credit,user77@okhdfc,success,newageapparel@ybl
TXNE248427A88D4,2026-01-04T14:43:00,440.3,credit,user375@okhdfc,success,newageapparel@ybl
TXN33F78AFA10DB,2026-01-04T19:16:00,294.35,credit,payer122@paytm,success,newageapparel@ybl
TXN2E4B0AF6803F,2026-01-04T20:52:00,582.46,credit,user119@okhdfc,success,newageapparel@ybl
TXNEEB240F36802,2026-01-05T10:36:00,532.3,credit,user168@okhdfc,success,newageapparel@ybl
TXN946CA28F278D,2026-01-05T12:35:00,367.03,credit,payer120@paytm,success,newageapparel@ybl
TXND54189EA941B,2026-01-05T13:46:00,488.69,credit,user144@okhdfc,success,newageapparel@ybl
TXN39611275EF8D,2026-01-05T17:53:00,658.29,credit,payer120@paytm,success,newageapparel@ybl
TXN1BA7137F4015,2026-01-05T18:00:00,3191.14,debit,wholesaler@ybl,success,newageapparel@ybl
TXN28331F08BBCB,2026-01-05T18:40:00,720.19,credit,user117@okhdfc,success,newageapparel@ybl
TXN59F07DF0918D,2026-01-06T10:16:00,554.57,credit,user263@okhdfc,success,newageapparel@ybl
TXNC7F7959F119E,2026-01-06T13:59:00,461.2,credit,cust72@ybl,success,newageapparel@ybl
TXN42C0B52C564A,2026-01-06T16:33:00,337.09,credit,payer394@paytm,success,newageapparel@ybl
TXN5C999B529734,2026-01-06T19:06:00,432.55,credit,user211@okhdfc,success,newageapparel@ybl
TXN3A8999D50D8B,2026-01-06T19:21:00,708.03,credit,cust81@ybl,success,newageapparel@ybl
