transaction_id,timestamp,amount,type,payer_vpa,status,merchant_vpa
TXND36462AD8529,2025-12-31T10:29:00,206.51,credit,user335@okhdfc,success,sharma.kirana@okicici
TXNF4373542B2BA,2025-12-31T11:44:00,248.09,credit,payer209@paytm,success,sharma.kirana@okicici
TXN56BE8081D725,2025-12-31T11:44:00,174.74,credit,cust360@ybl,success,sharma.kirana@okicici
TXN731C2768AE20,2025-12-31T12:27:00,178.37,credit,payer161@paytm,success,sharma.kirana@okicici
TXNA87B6551D1BF,2025-12-31T12:48:00,164.87,credit,payer45@paytm,success,sharma.kirana@okicici
TXN41BE30AF2386,2025-12-31T12:54:00,241.22,credit,payer170@paytm,success,sharma.kirana@okicici
TXN276032EA3CA2,2025-12-31T13:18:00,157.63,credit,payer387@paytm,success,sharma.kirana@okicici
TXNECC3DFE17932,2025-12-31T14:10:00,62.88,credit,user230@okhdfc,success,sharma.kirana@okicici
TXN7C5E7173C099,2025-12-31T14:28:00,179.49,credit,payer142@paytm,success,sharma.kirana@okicici
TXNF77764344A1B,2025-12-31T14:45:00,135.84,credit,user119@okhdfc,success,sharma.kirana@okicici
TXN8E68B0835117,2025-12-31T17:14:00,138.8,credit,user147@okhdfc,success,sharma.kirana@okicici
TXN3F9A8CC88D81,2025-12-31T17:39:00,153.43,credit,cust202@ybl,success,sharma.kirana@okicici
TXN9CDD0A20E32A,2025-12-31T17:57:00,237.26,credit,user225@okhdfc,success,sharma.kirana@okicici
TXN8662FF6AC277,2025-12-31T18:49:00,176.48,credit,payer143@paytm,success,sharma.kirana@okicici
TXN5438613D0C87,2025-12-31T18:53:00,238.07,credit,cust154@ybl,success,sharma.kirana@okicici
TXN42D8C0FE32E8,2025-12-31T19:04:00,182.21,credit,user62@okhdfc,success,sharma.kirana@okicici
TXN6C14D1AACA34,2026-01-01T08:19:00,208.0,credit,user162@okhdfc,success,sharma.kirana@okicici
TXNE835E9FF7FDA,2026-01-01T10:13:00,184.89,credit,user256@okhdfc,success,sharma.kirana@okicici
TXN46A2961318C7,2026-01-01T11:38:00,247.79,credit,payer213@paytm,success,sharma.kirana@okicici
TXN61E1C94B9965,2026-01-01T12:29:00,196.64,credit,payer286@paytm,success,sharma.kirana@okicici
TXN98B8733D801D,2026-01-01T12:29:00,199.37,credit,payer242@paytm,success,sharma.kirana@okicici
TXN0AFFC6DB2776,2026-01-01T12:51:00,164.18,credit,payer385@paytm,success,sharma.kirana@okicici
TXN87D923C49B69,2026-01-01T12:53:00,222.36,credit,user225@okhdfc,success,sharma.kirana@okicici
TXN3E483DD20B6F,2026-01-01T13:09:00,210.01,credit,payer293@paytm,success,sharma.kirana@okicici
TXN62676B89610F,2026-01-01T13:45:00,173.69,credit,cust169@ybl,success,sharma.kirana@okicici
TXN4FA4FFA5A4C3,2026-01-01T14:22:00,245.81,credit,user225@okhdfc,success,sharma.kirana@okicici
TXNDAB68C8D8505,2026-01-01T14:24:00,156.75,credit,payer93@paytm,success,sharma.kirana@okicici
TXN83C91C59CD35,2026-01-01T14:46:00,25.13,credit,user218@okhdfc,success,sharma.kirana@okicici
TXN343EEDAEF6F4,2026-01-01T15:01:00,66.54,credit,payer59@paytm,success,sharma.kirana@okicici
TXN6A5497E779B8,2026-01-01T17:53:00,177.95,credit,user284@okhdfc,success,sharma.kirana@okicici
TXNF0FAB6D95DD6,2026-01-01T18:15:00,189.08,credit,user66@okhdfc,success,sharma.kirana@okicici
TXN6BACD8ADB2BC,2026-01-01T18:22:00,241.68,credit,payer283@paytm,success,sharma.kirana@okicici
TXN740B8B1F0C87,2026-01-01T18:57:00,85.07,credit,user24@okhdfc,success,sharma.kirana@okicici
TXNC36BFD87D350,2026-01-01T19:38:00,262.8,credit,payer296@paytm,success,sharma.kirana@okicici
TXN3C2BBF58E0EB,2026-01-01T19:52:00,125.22,credit,payer352@paytm,success,sharma.kirana@okicici
TXN9C8DCC0482D3,2026-01-01T20:01:00,100.98,credit,user24@okhdfc,success,sharma.kirana@okicici
TXNF216E6A41A10,2026-01-01T20:39:00,161.43,credit,payer161@paytm,success,sharma.kirana@okicici
TXNCA01BCC5009B,2026-01-01T21:22:00,254.16,credit,cust213@ybl,success,sharma.kirana@okicici
TXNAF58E43B4DA8,2026-01-02T10:04:00,178.14,credit,cust49@ybl,success,sharma.kirana@okicici
TXNF1D464BD2295,2026-01-02T10:12:00,174.02,credit,payer228@paytm,success,sharma.kirana@okicici
TXNA1C61151D10F,2026-01-02T10:51:00,299.34,credit,cust49@ybl,success,sharma.kirana@okicici
TXN53D6C0171577,2026-01-02T11:13:00,295.17,credit,payer306@paytm,success,sharma.kirana@okicici
TXN878A0136B058,2026-01-02T11:47:00,225.27,credit,user143@okhdfc,success,sharma.kirana@okicici
TXN639B497453D9,2026-01-02T12:05:00,258.57,credit,cust349@ybl,success,sharma.kirana@okicici
TXN0DF126F40420,2026-01-02T12:29:00,320.08,credit,cust141@ybl,success,sharma.kirana@okicici
TXNF64745EB9628,2026-01-02T12:30:00,319.08,credit,user354@okhdfc,success,sharma.kirana@okicici
TXNB531E76B162B,2026-01-02T12:37:00,196.34,credit,user136@okhdfc,success,sharma.kirana@okicici
TXN679EB5930619,2026-01-02T13:47:00,270.59,credit,payer80@paytm,success,sharma.kirana@okicici
TXNEA8A497213E1,2026-01-02T14:28:00,249.12,credit,user225@okhdfc,success,sharma.kirana@okicici
TXNCA6AEB60B8E3,2026-01-02T16:47:00,151.5,credit,payer302@paytm,success,sharma.kirana@okicici
TXND8929A78F7FF,2026-01-02T16:50:00,255.05,credit,user335@okhdfc,success,sharma.kirana@okicici
TXNF83A20E3861B,2026-01-02T17:08:00,83.79,credit,cust103@ybl,success,sharma.kirana@okicici
TXNCB60E57A045D,2026-01-02T17:29:00,231.19,credit,cust248@ybl,success,sharma.kirana@okicici
TXNC93A426DBA64,2026-01-02T17:30:00,214.07,credit,payer62@paytm,success,sharma.kirana@okicici
TXNEBB59821EDDB,2026-01-02T17:31:00,171.86,credit,cust367@ybl,success,sharma.kirana@okicici
TXN4AB4770FC624,2026-01-02T17:48:00,142.29,credit,payer236@paytm,success,sharma.kirana@okicici
TXNBB0BFB5B99C5,2026-01-02T17:59:00,199.79,credit,payer343@paytm,success,sharma.kirana@okicici
TXN9042764C3AA1,2026-01-02T18:31:00,204.05,credit,cust92@ybl,success,sharma.kirana@okicici
TXNE3A6240BDA2C,2026-01-02T19:18:00,41.81,credit,cust95@ybl,success,sharma.kirana@okicici
TXN7C9FE7B45638,2026-01-02T19:44:00,201.0,credit,cust71@ybl,success,sharma.kirana@okicici
TXN929C310B17C4,2026-01-03T09:10:00,274.23,credit,payer301@paytm,success,sharma.kirana@okicici
TXN97CF819FD05D,2026-01-03T11:35:00,184.74,credit,cust49@ybl,success,sharma.kirana@okicici
TXN5DE0075284FD,2026-01-03T12:16:00,155.09,credit,user65@okhdfc,success,sharma.kirana@okicici
TXNB6A475920BBC,2026-01-03T13:30:00,187.19,credit,cust266@ybl,success,sharma.kirana@okicici
TXNE5370DB0ED25,2026-01-03T14:05:00,246.16,credit,payer161@paytm,success,sharma.kirana@okicici
TXN43A1BE924ABF,2026-01-03T14:20:00,209.49,credit,cust383@ybl,success,sharma.kirana@okicici
TXNB346BA511FA6,2026-01-03T14:41:00,173.61,credit,cust342@ybl,success,sharma.kirana@okicici
TXN0B3C84226666,2026-01-03T15:05:00,291.53,credit,cust103@ybl,success,sharma.kirana@okicici
TXNFAB0DD3F55C0,2026-01-03T15:39:00,160.54,credit,payer293@paytm,success,sharma.kirana@okicici
TXN2DEC15A6C233,2026-01-03T16:15:00,296.65,credit,payer289@paytm,success,sharma.kirana@okicici
TXN7CBC67C6C254,2026-01-03T16:47:00,203.99,credit,payer176@paytm,success,sharma.kirana@okicici
TXN4FFCE7ABD276,2026-01-03T18:52:00,169.51,credit,cust13@ybl,success,sharma.kirana@okicici
TXN6ADEA03E3CB7,2026-01-03T18:53:00,179.54,credit,payer387@paytm,success,sharma.kirana@okicici
TXN8D29E1B340AE,2026-01-03T18:54:00,210.78,credit,cust301@ybl,success,sharma.kirana@okicici
TXNCCAA14F20BE6,2026-01-03T19:21:00,223.16,credit,cust298@ybl,success,sharma.kirana@okicici
TXNB485B7F23FDE,2026-01-03T19:28:00,184.28,credit,cust101@ybl,success,sharma.kirana@okicici
TXN47B6AE29EF0E,2026-01-03T19:31:00,150.88,credit,cust291@ybl,success,sharma.kirana@okicici
TXN82AFBD6B9281,2026-01-03T19:52:00,110.13,credit,payer161@paytm,success,sharma.kirana@okicici
TXN8FF7E07AAAC4,2026-01-03T20:28:00,118.87,credit,payer69@paytm,success,sharma.kirana@okicici
TXN9F0A23E9D304,2026-01-03T20:55:00,184.72,credit,payer176@paytm,success,sharma.kirana@okicici
TXN5F03C7B27B41,2026-01-03T21:30:00,78.72,credit,cust366@ybl,success,sharma.kirana@okicici
TXNABA2FF6C5864,2026-01-04T07:55:00,218.93,credit,user115@okhdfc,success,sharma.kirana@okicici
TXNA24B9CD814BD,2026-01-04T09:50:00,289.42,credit,payer286@paytm,success,sharma.kirana@okicici
TXN5D521E9DE452,2026-01-04T09:55:00,203.82,credit,cust342@ybl,success,sharma.kirana@okicici
TXNF5C1C9462C33,2026-01-04T10:58:00,173.17,credit,cust275@ybl,success,sharma.kirana@okicici
TXN19E334C4C276,2026-01-04T11:12:00,127.16,credit,payer20@paytm,success,sharma.kirana@okicici
TXN9717569EF9F6,2026-01-04T11:43:00,215.84,credit,payer352@paytm,success,sharma.kirana@okicici
TXND56EB144ED00,2026-01-04T12:30:00,218.13,credit,cust148@ybl,success,sharma.kirana@okicici
TXN8FA2FB6F3AC3,2026-01-04T14:16:00,208.47,credit,payer203@paytm,success,sharma.kirana@okicici
